,Zone de référence,Secteur institutionnel,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,CURRENCY
7154,Norway,Ménages,1986-03-01,0.01768460130187144,Millions,NOK
7155,Norway,Ménages,1986-06-01,0.01076867340437504,Millions,NOK
7156,Norway,Ménages,1986-09-01,-0.026912951587585998,Millions,NOK
7157,Norway,Ménages,1986-12-01,0.021236734979011018,Millions,NOK
7158,Norway,Ménages,1987-03-01,-0.024737729078957993,Millions,NOK
7159,Norway,Ménages,1987-06-01,0.010163936516843108,Millions,NOK
7160,Norway,Ménages,1987-09-01,-0.003591650202306451,Millions,NOK
7161,Norway,Ménages,1987-12-01,0.009527791503541216,Millions,NOK
7162,Norway,Ménages,1988-03-01,-0.010636428670038556,Millions,NOK
7163,Norway,Ménages,1988-06-01,-0.018292180156409543,Millions,NOK
7164,Norway,Ménages,1988-09-01,-0.001324469081723012,Millions,NOK
7165,Norway,Ménages,1988-12-01,-0.008177313131574548,Millions,NOK
7166,Norway,Ménages,1989-03-01,0.003013502054660444,Millions,NOK
7167,Norway,Ménages,1989-06-01,-0.00031865359103089297,Millions,NOK
7168,Norway,Ménages,1989-09-01,0.0005204165934831195,Millions,NOK
7169,Norway,Ménages,1989-12-01,0.0008322334414803123,Millions,NOK
7170,Norway,Ménages,1990-03-01,-0.0007990593187856554,Millions,NOK
7171,Norway,Ménages,1990-06-01,0.017092738999271884,Millions,NOK
7172,Norway,Ménages,1990-09-01,-4.474644745167122e-05,Millions,NOK
7173,Norway,Ménages,1990-12-01,-0.0043917407146967236,Millions,NOK
7174,Norway,Ménages,1991-03-01,0.03288751340349161,Millions,NOK
7175,Norway,Ménages,1991-06-01,-0.017443197712367464,Millions,NOK
7176,Norway,Ménages,1991-09-01,0.018587995621887954,Millions,NOK
7177,Norway,Ménages,1991-12-01,-0.00015528239656636966,Millions,NOK
7178,Norway,Ménages,1992-03-01,0.012896652834033295,Millions,NOK
7179,Norway,Ménages,1992-06-01,0.008414699965654249,Millions,NOK
7180,Norway,Ménages,1992-09-01,-0.010333292786765647,Millions,NOK
7181,Norway,Ménages,1992-12-01,0.013132908475242955,Millions,NOK
7182,Norway,Ménages,1993-03-01,-0.003869997209719922,Millions,NOK
7183,Norway,Ménages,1993-06-01,0.010601631957130708,Millions,NOK
7184,Norway,Ménages,1993-09-01,0.02222811383397305,Millions,NOK
7185,Norway,Ménages,1993-12-01,0.013846153846153841,Millions,NOK
7186,Norway,Ménages,1994-03-01,0.008686097012192029,Millions,NOK
7187,Norway,Ménages,1994-06-01,0.002028900301453085,Millions,NOK
7188,Norway,Ménages,1994-09-01,0.0037792286231987937,Millions,NOK
7189,Norway,Ménages,1994-12-01,-0.0005214839944527316,Millions,NOK
